"batch_file","row_in_batch","key","pubmed_id","doi","title","year","journal","A_decision","A_confidence","A_labels","B_decision","B_confidence","B_labels","comparison_status","conflict_priority","provisional_decision","human_review_needed"
"reviewer_A_batch_01_rows_0001-0250.csv","246","rayyan-550686366","36284402","10.1016/j.jcmg.2022.06.006","Deep Learning of Coronary Calcium Scores From PET/CT Attenuation Maps Accurately Predicts Adverse Cardiovascular Events.","2023","JACC. Cardiovascular imaging","exclude","0.4","AI-ECG;DTA-data","exclude","0.15","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_02rows0251-0500.csv","154","rayyan-550686524","40519001","10.1161/CIRCOUTCOMES.124.011656","Association Between Automated Coronary Artery Calcium From Routine Chest Computed Tomography Scans and Cardiovascular Risk in Patients With Colorectal or Gastric Cancer.","2025","Circulation. Cardiovascular quality and outcomes","exclude","0,35","AI-ECG","exclude","0,3","AI-ECG","agreement","none","exclude","no"
"reviewer_A_batch_03rows0501-0750.csv","76","rayyan-550686696","39699030","10.1002/clc.70035","Stratification of Early Arrhythmic Risk in Patients Admitted for Acute Coronary Syndrome: The Role of the Machine Learning-Derived ""PRAISE Score"".","2024","Clinical cardiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_03rows0501-0750.csv","121","rayyan-550686741","24111439","10.1109/EMBC.2013.6611252","Detection of myocardial ischemia episode using morphological features.","2013","Annual International Conference of the IEEE Engineering in Medicine and Biology           Society. IEEE Engineering in Medicine and Biology Society. Annual International            Conference","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_04rows0751-1000.csv","111","rayyan-550686983","23591470","10.1109/TBME.2013.2257772","Postinfarction ventricular tachycardia substrate characterization: a comparison between late enhancement magnetic resonance imaging and voltage mapping using an MR-guided electrophysiology system.","2013","IEEE transactions on bio-medical engineering","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_05rows1001-1250.csv","46","rayyan-550687168","40847485","10.1161/JAHA.125.041915","Using Machine Learning to Risk Stratify Emergency Department Patients With Chest Pain but No Acute Myocardial Infarction: A Multicenter Retrospective Analysis.","2025","Journal of the American Heart Association","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_05rows1001-1250.csv","99","rayyan-550687221","39653093","10.1016/j.tcm.2024.12.003","Advancing personalised care in atrial fibrillation and stroke: The potential impact of AI from prevention to rehabilitation.","2025","Trends in cardiovascular medicine","exclude","0,3","AI-ECG","exclude","0,2","AI-ECG","agreement","none","exclude","no"
"reviewer_A_batch_05rows1001-1250.csv","125","rayyan-550687247","32036110","10.1016/j.jelectrocard.2019.12.018","Detection of myocardial ischemia due to clinically asymptomatic coronary artery stenosis at rest using supervised artificial intelligence-enabled vectorcardiography - A five-fold cross validation of accuracy.","2020","Journal of electrocardiology","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_05rows1001-1250.csv","139","rayyan-550687261","29551228","10.1016/j.jelectrocard.2018.02.001","The association between reconstructed phase space and Artificial Neural Networks for vectorcardiographic recognition of myocardial infarction.","2018","Journal of electrocardiology","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_05rows1001-1250.csv","205","rayyan-550687327","38899146","10.1109/JTEHM.2024.3397739","Detection of Non-Sustained Supraventricular Tachycardia in Atrial Fibrillation Screening.","2024","IEEE journal of translational engineering in health and medicine","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","54","rayyan-550687426","22841167","10.1016/j.jtcvs.2012.06.052","Preoperative multidetector computed tomograpy angiography for planning of minimally invasive robotic mitral valve surgery: impact on decision making.","2013","The Journal of thoracic and cardiovascular surgery","exclude","0,4","Structural-heart-disease;DTA-data","exclude","0,45","Structural-heart-disease;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","89","rayyan-550687461","24111437","10.1109/EMBC.2013.6611250","Detection of myocardial scar from the VCG using a supervised learning approach.","2013","Annual International Conference of the IEEE Engineering in Medicine and Biology           Society. IEEE Engineering in Medicine and Biology Society. Annual International            Conference","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","137","rayyan-550687510","19250111","10.1111/j.1540-8159.2008.02226.x","Automated template matching to pinpoint the origin of right ventricular outflow tract tachycardia.","2009","Pacing and clinical electrophysiology : PACE","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","173","rayyan-550687546","39928932","10.2196/60888","Machine Learning in the Management of Patients Undergoing Catheter Ablation for Atrial Fibrillation: Scoping Review.","2025","Journal of medical Internet research","exclude","0","AI-ECG;DTA-data","exclude","0","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","185","rayyan-550687558","16871714","10.1109/titb.2006.876033","Diagnosing old MI by searching for a linear boundary in the space of principal components.","2006","IEEE transactions on information technology in biomedicine : a publication of the           IEEE Engineering in Medicine and Biology Society","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","189","rayyan-550687562","17921587","10.1088/0031-9155/52/20/015","A stochastic approach for automatic registration and fusion of left atrial electroanatomic maps with 3D CT anatomical images.","2007","Physics in medicine and biology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","202","rayyan-550687575","15170716","10.1002/ccd.10750","Validation of a thermographic guidewire for endoluminal mapping of atherosclerotic disease: an in vitro study.","2004","Catheterization and cardiovascular interventions : official journal of the           Society for Cardiac Angiography & Interventions","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","208","rayyan-550687581","37950179","10.1186/s12911-023-02347-5","Machine learning-based risk models for procedural complications of radiofrequency ablation for atrial fibrillation.","2023","BMC medical informatics and decision making","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
