"batch_file","row_in_batch","key","pubmed_id","doi","title","year","journal","A_decision","A_confidence","A_labels","B_decision","B_confidence","B_labels","comparison_status","conflict_priority","provisional_decision","human_review_needed"
"reviewer_A_batch_01_rows_0001-0250.csv","1","rayyan-550686121","30617318","10.1038/s41591-018-0240-2","Screening for cardiac contractile dysfunction using an artificial intelligence-enabled electrocardiogram.","2019","Nature medicine","include","0.95","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","include","1","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","4","rayyan-550686124","37831014","10.1016/j.jcmg.2023.07.012","Improved Diagnostic Criteria for Apical Hypertrophic Cardiomyopathy.","2024","JACC. Cardiovascular imaging","include","1","AI-ECG;Structural-heart-disease;LVH-HCM;DTA-data;External-validation","include","1","AI-ECG;Structural-heart-disease;LVH-HCM;DTA-data","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","6","rayyan-550686126","34218880","10.1016/j.mayocp.2021.04.023","Artificial Intelligence-Enhanced Electrocardiogram for the Early Detection of Cardiac Amyloidosis.","2021","Mayo Clinic proceedings","include","0.95","AI-ECG;Structural-heart-disease;DTA-data","include","1","AI-ECG;Structural-heart-disease;DTA-data","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","7","rayyan-550686127","31378392","10.1016/S0140-6736(19)31721-0","An artificial intelligence-enabled ECG algorithm for the identification of patients with atrial fibrillation during sinus rhythm: a retrospective analysis of outcome prediction.","2019","Lancet (London, England)","include","1","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data;External-validation","include","1","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","8","rayyan-550686128","40670798","10.1038/s41586-025-09227-0","Detecting structural heart disease from electrocardiograms using AI.","2025","Nature","include","1","AI-ECG;Structural-heart-disease;DTA-data;External-validation","include","1","AI-ECG;Structural-heart-disease;DTA-data;External-validation","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","9","rayyan-550686129","39223284","10.1038/s41591-024-03243-9","Artificial intelligence guided screening for cardiomyopathies in an obstetric population: a pragmatic randomized clinical trial.","2024","Nature medicine","include","0.95","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","include","1","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","10","rayyan-550686130","40679604","10.1093/eurheartj/ehaf450","Artificial intelligence-enabled electrocardiography and echocardiography to track preclinical progression of transthyretin amyloid cardiomyopathy.","2025","European heart journal","include","0.95","AI-ECG;Structural-heart-disease;DTA-data","include","1","AI-ECG;Structural-heart-disease;DTA-data","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","14","rayyan-550686134","34147447","10.1016/j.jcmg.2021.05.015","Machine Learning for ECG Diagnosis of LV Dysfunction.","2021","JACC. Cardiovascular imaging","include","0.95","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","include","1","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","15","rayyan-550686135","40696040","10.1038/s44161-025-00685-3","Identification of hypertrophic cardiomyopathy on electrocardiographic images with deep learning.","2025","Nature cardiovascular research","include","1","AI-ECG;Structural-heart-disease;LVH-HCM;DTA-data;External-validation","include","1","AI-ECG;Structural-heart-disease;LVH-HCM;DTA-data;External-validation","agreement","none","include","no"
"reviewer_A_batch_01_rows_0001-0250.csv","16","rayyan-550686136","35272811","10.1016/j.jcmg.2022.02.001","Imaging With Deep Learning: Sharpening the Cutting Edge.","2022","JACC. Cardiovascular imaging","include","0.95","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","include","1","AI-ECG;Structural-heart-disease;Reduced-EF;DTA-data","agreement","none","include","no"
