"batch_file","row_in_batch","key","pubmed_id","doi","title","year","journal","A_decision","A_confidence","A_labels","B_decision","B_confidence","B_labels","comparison_status","conflict_priority","provisional_decision","human_review_needed","automated_final_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","204","rayyan-550686324","32588036","10.1093/ehjci/jeaa135","Applying machine learning to detect early stages of cardiac remodelling and dysfunction.","2021","European heart journal. Cardiovascular Imaging","maybe","0.7","AI-ECG;Structural-heart-disease;Reduced-EF;LVH-HCM;DTA-data","exclude","0.75","AI-ECG;Structural-heart-disease;Reduced-EF;LVH-HCM;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_02rows0251-0500.csv","18","rayyan-550686388","37286789","10.1007/s00330-023-09785-9","Deep learning-based prognostic model using non-enhanced cardiac cine MRI for outcome prediction in patients with heart failure.","2023","European radiology","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_03rows0501-0750.csv","27","rayyan-550686647","24034732","10.1016/j.compbiomed.2013.06.016","Multi-level basis selection of wavelet packet decomposition tree for heart sound classification.","2013","Computers in biology and medicine","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_05rows1001-1250.csv","190","rayyan-550687312","31519694","10.2337/dc19-0587","Machine Learning to Predict the Risk of Incident Heart Failure Hospitalization Among Patients With Diabetes: The WATCH-DM Risk Score.","2019","Diabetes care","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_05rows1001-1250.csv","195","rayyan-550687317","31135569","10.2459/JCM.0000000000000820","Diagnostic utility of hybrid single photon emission computed tomography/computed tomography imaging in patients with Takotsubo syndrome.","2019","Journal of cardiovascular medicine (Hagerstown, Md.)","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_05rows1001-1250.csv","213","rayyan-550687335","35040610","10.3349/ymj.2022.63.S93","Artificial Intelligence for Detection of Cardiovascular-Related Diseases from Wearable Devices: A Systematic Review and Meta-Analysis.","2022","Yonsei medical journal","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_06rows1251-1500.csv","6","rayyan-550687378","38378022","10.1055/a-2263-2322","Diagnostic accuracy of artificial intelligence-enabled vectorcardiography versus myocardial perfusion SPECT in patients with suspected or known coronary heart disease.","2024","Nuklearmedizin. Nuclear medicine","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_06rows1251-1500.csv","74","rayyan-550687446","16814128","10.1016/j.amjhyper.2005.12.018","Microalbuminuria and cardiovascular risk assessment in primary hypertension: should threshold levels be revised?","2006","American journal of hypertension","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_06rows1251-1500.csv","236","rayyan-550687609","34454883","10.1016/j.jacep.2021.06.009","Using Machine-Learning for Prediction of the Response to Cardiac Resynchronization Therapy: The SMART-AV Study.","2021","JACC. Clinical electrophysiology","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_07rows1501-1750.csv","18","rayyan-550687641","34474011","10.1016/S0140-6736(21)01638-X","Redefining beta-blocker response in heart failure patients with sinus rhythm and atrial fibrillation: a machine learning cluster analysis.","2021","Lancet (London, England)","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
